System,Platform,Sale,Rating,User
PLAYSTATION,PS,206.55,73.85333333333334,78.6
PLAYSTATION,PS2,945.97,69.4921052631579,76.6438596491228
PLAYSTATION,PS3,784.3,70.95318595578674,67.82704811443433
PLAYSTATION,PS4,243.03,72.66945606694561,67.39330543933055
PLAYSTATION,PSP,187.92,68.7974358974359,72.7051282051282
XBOX,X360,853.3,69.04195804195804,67.8076923076923
XBOX,XB,212.07,71.6070796460177,75.40707964601769
XBOX,XOne,129.57,73.72955974842768,64.93081761006289
