Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score
Dissidia: Final Fantasy,PLAYSTATION,2008,PSP,Fighting,Square Enix,2.23,79
Madden NFL 25,XBOX,2013,X360,Sports,Electronic Arts,2.23,80
Borderlands 2,PLAYSTATION,2012,PS3,Shooter,Take-Two Interactive,2.23,91
Prince of Persia: The Sands of Time,PLAYSTATION,2003,PS2,Action,Ubisoft,2.22,92
LEGO Marvel Super Heroes,XBOX,2013,X360,Action,Warner Bros. Interactive Entertainment,2.22,80
Tom Clancy's Rainbow Six: Siege,PLAYSTATION,2015,PS4,Shooter,Ubisoft,2.21,73
Star Wars: The Force Unleashed,PLAYSTATION,2008,PS3,Action,LucasArts,2.21,71
Guitar Hero II,XBOX,2007,X360,Misc,Activision,2.2,92
Forza Motorsport 5,XBOX,2013,XOne,Racing,Microsoft Game Studios,2.2,79
Rock Band 2,XBOX,2008,X360,Misc,Electronic Arts,2.2,92
Need for Speed: Hot Pursuit,XBOX,2010,X360,Racing,Electronic Arts,2.2,88
BioShock 2,XBOX,2010,X360,Shooter,Take-Two Interactive,2.2,88
Star Wars: Knights of the Old Republic,XBOX,2003,XB,Role-Playing,Activision,2.19,94
Madden NFL 15,PLAYSTATION,2014,PS4,Sports,Electronic Arts,2.19,81
Pro Evolution Soccer 2012,PLAYSTATION,2011,PS3,Action,Konami Digital Entertainment,2.19,80
Saints Row,XBOX,2006,X360,Action,THQ,2.18,81
ATV Offroad Fury 2,PLAYSTATION,2002,PS2,Racing,THQ,2.18,82
FIFA 15,XBOX,2014,XOne,Sports,Electronic Arts,2.18,82
Tom Clancy's The Division,XBOX,2016,XOne,Shooter,Ubisoft,2.16,80
Final Fantasy XIII,XBOX,2010,X360,Role-Playing,Square Enix,2.16,82
Overwatch,PLAYSTATION,2016,PS4,Shooter,Activision,2.14,90
Hitman: Absolution,PLAYSTATION,2012,PS3,Action,Square Enix,2.14,83
Call of Duty: Roads to Victory,PLAYSTATION,2007,PSP,Shooter,Activision,2.13,64
Dance Dance Revolution Extreme,PLAYSTATION,2004,PS2,Simulation,Konami Digital Entertainment,2.13,77
Project Gotham Racing,XBOX,2001,XB,Racing,Microsoft Game Studios,2.12,85
NBA 2K12,PLAYSTATION,2011,PS3,Sports,Take-Two Interactive,2.11,90
Need for Speed: Hot Pursuit 2,PLAYSTATION,2002,PS2,Racing,Electronic Arts,2.11,89
Dynasty Warriors 4,PLAYSTATION,2003,PS2,Action,Tecmo Koei,2.11,78
NBA 2K14,PLAYSTATION,2013,PS3,Sports,Take-Two Interactive,2.11,84
Parasite Eve,PLAYSTATION,1998,PS,Role-Playing,SquareSoft,2.1,81
Battlefield: Hardline,PLAYSTATION,2015,PS4,Shooter,Electronic Arts,2.1,73
Mortal Kombat,XBOX,2011,X360,Fighting,Warner Bros. Interactive Entertainment,2.1,86
Borderlands,PLAYSTATION,2009,PS3,Shooter,Take-Two Interactive,2.09,83
Devil May Cry 3: Dante's Awakening,PLAYSTATION,2005,PS2,Action,Capcom,2.09,84
NBA 2K11,XBOX,2010,X360,Action,Take-Two Interactive,2.09,89
Dying Light,PLAYSTATION,2015,PS4,Action,Warner Bros. Interactive Entertainment,2.09,74
Dead Rising,XBOX,2006,X360,Action,Capcom,2.08,85
Tetris Worlds,PLAYSTATION,2002,PS2,Puzzle,THQ,2.08,44
Portal 2,XBOX,2011,X360,Shooter,Valve Software,2.08,95
Need for Speed: Most Wanted 5-1-0,PLAYSTATION,2005,PSP,Racing,Electronic Arts,2.07,72
DriveClub,PLAYSTATION,2014,PS4,Racing,Sony Computer Entertainment,2.07,71
UFC 2009 Undisputed,XBOX,2009,X360,Fighting,THQ,2.06,83
Metal Gear Solid: Peace Walker,PLAYSTATION,2010,PSP,Action,Konami Digital Entertainment,2.06,89
Kingdom Hearts: Birth by Sleep,PLAYSTATION,2010,PSP,Role-Playing,Square Enix,2.06,82
SoulCalibur II,PLAYSTATION,2003,PS2,Fighting,Namco Bandai Games,2.06,92
Need for Speed: ProStreet,XBOX,2007,X360,Racing,Electronic Arts,2.05,72
Need For Speed: Undercover,PLAYSTATION,2008,PS3,Racing,Electronic Arts,2.05,59
SOCOM: U.S. Navy SEALs: Combined Assault,PLAYSTATION,2006,PS2,Shooter,Sony Computer Entertainment,2.04,72
Peter Jackson's King Kong: The Official Game of the Movie,PLAYSTATION,2005,PS2,Action,Ubisoft,2.04,82
Need for Speed: ProStreet,PLAYSTATION,2007,PS3,Racing,Electronic Arts,2.04,73
Dance Central 2,XBOX,2011,X360,Misc,Microsoft Game Studios,2.04,86
NBA Live 2004,PLAYSTATION,2003,PS2,Sports,Electronic Arts,2.03,86
Call of Duty 2,XBOX,2005,X360,Shooter,Activision,2.03,89
Dark Souls,PLAYSTATION,2011,PS3,Role-Playing,Namco Bandai Games,2.02,89
Just Dance 3,XBOX,2011,X360,Misc,Ubisoft,2.02,70
Battlefield 4,XBOX,2013,XOne,Shooter,Electronic Arts,2.02,81
Need for Speed: The Run,PLAYSTATION,2011,PS3,Action,Electronic Arts,2.01,64
Dragon Age: Inquisition,PLAYSTATION,2014,PS4,Role-Playing,Electronic Arts,2.01,89
Dead Space,PLAYSTATION,2008,PS3,Action,Electronic Arts,2,88
