Name,System,Year,Platform,Genre,Publisher,Global_Sales,Critic_Score
Crysis 3,PLAYSTATION,2013,PS3,Shooter,Electronic Arts,0.87,77
Mercenaries 2: World in Flames,PLAYSTATION,2008,PS3,Shooter,Electronic Arts,0.87,72
Guitar Hero Live,PLAYSTATION,2015,PS4,Misc,Activision,0.86,80
Winning Eleven: Pro Evolution Soccer 2007,PLAYSTATION,2006,PSP,Sports,Konami Digital Entertainment,0.86,81
Rocky,PLAYSTATION,2002,PS2,Fighting,Rage Software,0.86,74
Ford Racing,PLAYSTATION,2001,PS,Racing,Empire Interactive,0.86,53
Guitar Hero: Warriors of Rock,XBOX,2010,X360,Misc,Activision,0.86,72
Lemmings,PLAYSTATION,2006,PSP,Puzzle,Sony Computer Entertainment,0.86,76
Dynasty Warriors 4: Xtreme Legends,PLAYSTATION,2003,PS2,Action,Tecmo Koei,0.86,72
2010 FIFA World Cup South Africa,XBOX,2010,X360,Sports,Electronic Arts,0.85,83
NBA 2K8,XBOX,2007,X360,Sports,Take-Two Interactive,0.85,81
Tiger Woods PGA Tour 2005,XBOX,2004,XB,Sports,Electronic Arts,0.85,88
Kingdoms of Amalur: Reckoning,PLAYSTATION,2012,PS3,Role-Playing,Electronic Arts,0.85,81
Dragon Ball Z: Burst Limit,PLAYSTATION,2008,PS3,Fighting,Atari,0.85,71
Tekken Tag Tournament 2,PLAYSTATION,2012,PS3,Fighting,Namco Bandai Games,0.85,82
Ninja Gaiden Sigma 2,PLAYSTATION,2009,PS3,Action,Ubisoft Annecy,0.85,83
Ratatouille,PLAYSTATION,2007,PS2,Action,THQ,0.85,65
Burnout 2: Point of Impact,PLAYSTATION,2002,PS2,Racing,Acclaim Entertainment,0.85,86
Street Fighter EX3,PLAYSTATION,2000,PS2,Fighting,Virgin Interactive,0.85,64
NCAA Football 11,PLAYSTATION,2010,PS3,Sports,Electronic Arts,0.85,85
Army of Two: The 40th Day,PLAYSTATION,2010,PS3,Shooter,Electronic Arts,0.85,74
Darksiders II,PLAYSTATION,2012,PS3,Action,THQ,0.84,84
Tales of Xillia 2,PLAYSTATION,2012,PS3,Role-Playing,Namco Bandai Games,0.84,71
Ghostbusters: The Video Game,PLAYSTATION,2009,PS3,Action,Sony Computer Entertainment,0.84,78
NBA 2K10,PLAYSTATION,2009,PS3,Sports,Take-Two Interactive,0.84,83
Skate 2,PLAYSTATION,2009,PS3,Sports,Electronic Arts,0.84,84
Big Mutha Truckers,PLAYSTATION,2002,PS2,Racing,Empire Interactive,0.84,62
Rogue Galaxy,PLAYSTATION,2005,PS2,Role-Playing,Sony Computer Entertainment,0.84,83
ESPN College Hoops 2K5,PLAYSTATION,2004,PS2,Sports,Sega,0.84,86
NCAA Football 14,PLAYSTATION,2013,PS3,Sports,Electronic Arts,0.84,77
Sniper Elite V2,XBOX,2012,X360,Shooter,505 Games,0.84,67
Burnout Legends,PLAYSTATION,2005,PSP,Racing,Electronic Arts,0.84,86
Dynasty Warriors 2,PLAYSTATION,2000,PS2,Action,THQ,0.83,75
Time Crisis 4,PLAYSTATION,2007,PS3,Shooter,Namco Bandai Games,0.83,60
Duke Nukem Forever,XBOX,2011,X360,Shooter,Take-Two Interactive,0.83,49
NCAA Football 12,PLAYSTATION,2011,PS3,Sports,Electronic Arts,0.83,82
Brute Force,XBOX,2003,XB,Shooter,Microsoft Game Studios,0.83,77
Tiger Woods PGA Tour 11,PLAYSTATION,2010,PS3,Sports,Electronic Arts,0.83,78
Sly 3: Honor Among Thieves,PLAYSTATION,2005,PS2,Platform,Sony Computer Entertainment,0.83,83
Street Fighter X Tekken,PLAYSTATION,2012,PS3,Fighting,Capcom,0.83,84
Sid Meier's Civilization Revolution,XBOX,2008,X360,Strategy,Take-Two Interactive,0.83,84
Dragon Age II,PLAYSTATION,2011,PS3,Action,Electronic Arts,0.83,82
James Bond 007: Nightfire,XBOX,2002,XB,Shooter,Electronic Arts,0.82,78
Marvel: Ultimate Alliance,PLAYSTATION,2006,PS2,Role-Playing,Activision,0.82,81
DJ Hero 2,XBOX,2010,X360,Misc,Activision,0.82,86
Tony Hawk's Underground 2 Remix,PLAYSTATION,2005,PSP,Sports,Activision,0.82,83
Need for Speed: Hot Pursuit 2,XBOX,2002,XB,Racing,Electronic Arts,0.82,75
Amped: Freestyle Snowboarding,XBOX,2001,XB,Sports,Microsoft Game Studios,0.82,78
Stranglehold,XBOX,2007,X360,Shooter,Midway Games,0.82,77
Shin Megami Tensei: Persona 4,PLAYSTATION,2008,PS2,Role-Playing,Atlus,0.82,90
Devil May Cry HD Collection,PLAYSTATION,2012,PS3,Action,Capcom,0.82,74
Dance Central 3,XBOX,2012,X360,Misc,Microsoft Game Studios,0.81,86
Tales of Destiny II,PLAYSTATION,2000,PS,Role-Playing,Namco Bandai Games,0.81,78
NASCAR 2001,PLAYSTATION,2000,PS,Racing,Electronic Arts,0.81,73
MediEvil: Resurrection,PLAYSTATION,2005,PSP,Adventure,Sony Computer Entertainment,0.81,66
Valkyrie Profile,PLAYSTATION,1999,PS,Role-Playing,Enix Corporation,0.81,81
Patapon,PLAYSTATION,2007,PSP,Misc,Sony Computer Entertainment,0.81,86
Pro Evolution Soccer 2010,XBOX,2009,X360,Sports,Konami Digital Entertainment,0.81,78
Tom Clancy's Rainbow Six 3,PLAYSTATION,2004,PS2,Shooter,Ubisoft,0.81,70
Madden NFL 25,XBOX,2013,XOne,Sports,Electronic Arts,0.81,73
NCAA Football 10,PLAYSTATION,2009,PS3,Sports,Electronic Arts,0.81,80
Guitar Hero: Warriors of Rock,PLAYSTATION,2010,PS3,Misc,Activision,0.81,74
The Sims 2,PLAYSTATION,2005,PS2,Simulation,Electronic Arts,0.81,75
Dragon Ball: Raging Blast 2,PLAYSTATION,2010,PS3,Fighting,Namco Bandai Games,0.81,60
Yakuza,PLAYSTATION,2005,PS2,Action,Sega,0.8,75
Hitman: Contracts,PLAYSTATION,2004,PS2,Shooter,Eidos Interactive,0.8,80
Final Fantasy Anthology,PLAYSTATION,1999,PS,Role-Playing,Square EA,0.8,80
DiRT 2,XBOX,2009,X360,Racing,Codemasters,0.8,87
Prince of Persia: Warrior Within,XBOX,2004,XB,Action,Ubisoft,0.8,83
Pro Evolution Soccer 2010,PLAYSTATION,2009,PSP,Sports,Konami Digital Entertainment,0.8,72
Guitar Hero: Metallica,XBOX,2009,X360,Misc,Activision,0.8,84
The Sims 2: Pets,PLAYSTATION,2006,PSP,Simulation,Electronic Arts,0.79,57
Dragon Ball Z: Budokai Tenkaichi 2,PLAYSTATION,2006,PS2,Fighting,Atari,0.79,73
Guitar Hero: Aerosmith,PLAYSTATION,2008,PS2,Misc,Activision,0.79,71
pro evolution soccer 2011,PLAYSTATION,2010,PSP,Sports,Konami Digital Entertainment,0.79,74
DmC: Devil May Cry,PLAYSTATION,2013,PS3,Action,Capcom,0.79,85
Motocross Mania,PLAYSTATION,2001,PS,Racing,Take-Two Interactive,0.79,34
Darksiders II,XBOX,2012,X360,Action,THQ,0.79,83
Need for Speed Rivals,XBOX,2013,X360,Racing,Electronic Arts,0.79,76
[Prototype 2],XBOX,2012,X360,Action,Activision,0.79,74
Armored Core 2,PLAYSTATION,2000,PS2,Simulation,Ubisoft,0.79,78
The Godfather II,XBOX,2009,X360,Action,Electronic Arts,0.79,65
Dragon's Dogma,XBOX,2012,X360,Role-Playing,Capcom,0.79,75
Pro Evolution Soccer 2016,PLAYSTATION,2015,PS4,Sports,Konami Digital Entertainment,0.79,87
Rare Replay,XBOX,2015,XOne,Misc,Microsoft Game Studios,0.79,84
Band Hero,XBOX,2009,X360,Misc,Activision,0.79,76
NCAA Football 08,PLAYSTATION,2007,PS2,Sports,Electronic Arts,0.79,83
FIFA Soccer 2004,XBOX,2003,XB,Sports,Electronic Arts,0.79,82
The Sims 2: Castaway,PLAYSTATION,2007,PSP,Simulation,Electronic Arts,0.79,64
Star Ocean: The Last Hope,XBOX,2009,X360,Role-Playing,Square Enix,0.79,72
Sniper: Ghost Warrior,PLAYSTATION,2011,PS3,Shooter,City Interactive,0.79,53
Invizimals,PLAYSTATION,2009,PSP,Strategy,Sony Computer Entertainment,0.79,69
WWE 2K15,PLAYSTATION,2014,PS3,Sports,Take-Two Interactive,0.78,55
Too Human,XBOX,2008,X360,Role-Playing,Microsoft Game Studios,0.78,65
Tiger Woods PGA Tour 10,PLAYSTATION,2009,PS3,Sports,Electronic Arts,0.78,81
Tom Clancy's Splinter Cell: Double Agent,XBOX,2006,X360,Action,Ubisoft,0.78,85
Naruto Shippuden: Ultimate Ninja Storm 2,XBOX,2010,X360,Fighting,Namco Bandai Games,0.78,74
Fight Night Champion,XBOX,2011,X360,Fighting,Electronic Arts,0.78,86
Dead Island: Riptide,XBOX,2013,X360,Action,Deep Silver,0.78,57
Sid Meier's Civilization Revolution,PLAYSTATION,2008,PS3,Strategy,Take-Two Interactive,0.78,85
NBA 2K7,PLAYSTATION,2006,PS2,Sports,Take-Two Interactive,0.78,81
Goldeneye 007: Reloaded,PLAYSTATION,2011,PS3,Shooter,Activision,0.78,72
Rayman Origins,XBOX,2011,X360,Platform,Ubisoft,0.78,87
Aliens: Colonial Marines,XBOX,2013,X360,Shooter,Sega,0.77,48
Lips,XBOX,2008,X360,Misc,Microsoft Game Studios,0.77,71
Need for Speed: ProStreet,PLAYSTATION,2008,PSP,Racing,Electronic Arts,0.77,57
Perfect Dark Zero,XBOX,2005,X360,Shooter,Microsoft Game Studios,0.77,81
Marvel Nemesis: Rise of the Imperfects,PLAYSTATION,2005,PS2,Fighting,Electronic Arts,0.77,53
Need for Speed: Porsche Unleashed,PLAYSTATION,1999,PS,Racing,Electronic Arts,0.77,78
Resident Evil: Operation Raccoon City,XBOX,2012,X360,Action,Capcom,0.77,52
UFC Personal Trainer: The Ultimate Fitness System,XBOX,2011,X360,Sports,THQ,0.77,70
Worms: Open Warfare,PLAYSTATION,2006,PSP,Strategy,THQ,0.77,70
Maximo: Ghosts to Glory,PLAYSTATION,2001,PS2,Platform,Capcom,0.77,84
All-Star Baseball 2003,PLAYSTATION,2002,PS2,Sports,Acclaim Entertainment,0.77,81
Unlimited Saga,PLAYSTATION,2002,PS2,Role-Playing,Atari,0.77,45
Dragon Ball: Raging Blast,PLAYSTATION,2009,PS3,Fighting,Namco Bandai Games,0.77,57
Twisted Metal: Head On,PLAYSTATION,2005,PSP,Action,Sony Computer Entertainment,0.77,79
Sonic Unleashed,PLAYSTATION,2008,PS2,Platform,Sega,0.76,66
Driv3r,XBOX,2004,XB,Racing,Atari,0.76,56
ISS Pro Evolution,PLAYSTATION,1998,PS,Sports,Konami Digital Entertainment,0.76,94
Need For Speed: Undercover,PLAYSTATION,2008,PSP,Racing,Electronic Arts,0.76,52
Star Wars Battlefront: Elite Squadron,PLAYSTATION,2009,PSP,Shooter,LucasArts,0.76,63
Syphon Filter: The Omega Strain,PLAYSTATION,2004,PS2,Shooter,Sony Computer Entertainment,0.76,65
Mortal Kombat: Deception,XBOX,2004,XB,Fighting,Midway Games,0.76,81
Duke Nukem Forever,PLAYSTATION,2011,PS3,Shooter,Take-Two Interactive,0.76,51
Wall-E,PLAYSTATION,2008,PS2,Platform,THQ,0.75,67
Mega Man X5,PLAYSTATION,2000,PS,Platform,Capcom,0.75,76
Titanfall 2,PLAYSTATION,2016,PS4,Shooter,Electronic Arts,0.75,89
Genji: Days of the Blade,PLAYSTATION,2006,PS3,Action,Sony Computer Entertainment,0.75,55
Metal Gear Solid V: The Phantom Pain,XBOX,2015,XOne,Action,Konami Digital Entertainment,0.75,95
Rockstar Games presents Table Tennis,XBOX,2006,X360,Sports,Take-Two Interactive,0.75,81
DJ Hero 2,PLAYSTATION,2010,PS3,Misc,Activision,0.75,86
WWE SmackDown vs. Raw 2009,PLAYSTATION,2008,PSP,Fighting,THQ,0.75,72
SoulCalibur V,PLAYSTATION,2012,PS3,Fighting,Namco Bandai Games,0.75,81
Shark Tale,PLAYSTATION,2004,PS2,Action,Activision,0.75,69
Zone of the Enders,PLAYSTATION,2001,PS2,Shooter,Konami Digital Entertainment,0.75,78
Pro Evolution Soccer 2015,PLAYSTATION,2014,PS4,Sports,Konami Digital Entertainment,0.75,82
Tony Hawk's Underground 2,XBOX,2004,XB,Sports,Activision,0.75,83
Madden NFL 06,PLAYSTATION,2005,PSP,Sports,Electronic Arts,0.75,75
Capcom vs. SNK 2: Mark of the Millennium 2001,PLAYSTATION,2001,PS2,Fighting,Capcom,0.75,81
MVP 06 NCAA Baseball,PLAYSTATION,2006,PS2,Sports,Electronic Arts,0.75,76
Turok,XBOX,2008,X360,Action,Touchstone,0.75,69
Coded Arms,PLAYSTATION,2005,PSP,Shooter,Konami Digital Entertainment,0.75,59
The Lord of the Rings: Conquest,PLAYSTATION,2009,PS3,Action,Electronic Arts,0.74,54
Band Hero,PLAYSTATION,2009,PS3,Misc,Activision,0.74,76
Burnout,PLAYSTATION,2001,PS2,Racing,Acclaim Entertainment,0.74,79
The Godfather II,PLAYSTATION,2009,PS3,Action,Electronic Arts,0.74,67
Mortal Kombat: Unchained,PLAYSTATION,2006,PSP,Fighting,Midway Games,0.74,70
Need for Speed: Shift,PLAYSTATION,2009,PSP,Racing,Electronic Arts,0.74,69
Dark Souls II,XBOX,2014,X360,Role-Playing,Namco Bandai Games,0.74,91
[Prototype 2],PLAYSTATION,2012,PS3,Action,Activision,0.74,79
Midnight Club 3: DUB Edition,XBOX,2005,XB,Racing,Take-Two Interactive,0.74,84
Resident Evil: Revelations,PLAYSTATION,2013,PS3,Action,Capcom,0.74,74
Tom Clancy's Rainbow Six: Vegas,PLAYSTATION,2007,PSP,Shooter,Ubisoft,0.74,60
Red Faction: Guerrilla,PLAYSTATION,2009,PS3,Shooter,THQ,0.74,85
Ace Combat: Assault Horizon,PLAYSTATION,2011,PS3,Action,Namco Bandai Games,0.74,77
Unreal Championship,XBOX,2002,XB,Shooter,Atari,0.74,83
Tales of Vesperia,XBOX,2008,X360,Role-Playing,Atari,0.74,79
MLB 13: The Show,PLAYSTATION,2013,PS3,Sports,Sony Computer Entertainment,0.74,87
Marvel: Ultimate Alliance 2,PLAYSTATION,2009,PS3,Role-Playing,Activision,0.73,74
Resonance of Fate,PLAYSTATION,2010,PS3,Role-Playing,Sega,0.73,72
Pirates of the Caribbean: At World's End,PLAYSTATION,2007,PS3,Action,Disney Interactive Studios,0.73,55
Tiger Woods PGA Tour 08,PLAYSTATION,2007,PS3,Sports,Electronic Arts,0.73,79
Final Fantasy XIII-2,XBOX,2011,X360,Role-Playing,Square Enix,0.73,79
Oddworld: Munch's Oddysee,XBOX,2001,XB,Platform,Atari,0.73,80
Persona 4: Arena,PLAYSTATION,2012,PS3,Fighting,Atlus,0.73,86
Brink,PLAYSTATION,2011,PS3,Shooter,Bethesda Softworks,0.73,72
NHL 11,XBOX,2010,X360,Sports,Electronic Arts,0.73,88
NCAA Football 07,XBOX,2006,X360,Sports,Electronic Arts,0.73,79
Full Spectrum Warrior,XBOX,2004,XB,Strategy,THQ,0.73,84
LEGO Marvel's Avengers,PLAYSTATION,2016,PS4,Action,Warner Bros. Interactive Entertainment,0.73,71
Katamari Damacy,PLAYSTATION,2004,PS2,Puzzle,Namco Bandai Games,0.73,86
LEGO Dimensions,PLAYSTATION,2015,PS4,Action,Warner Bros. Interactive Entertainment,0.73,80
Naruto Shippuden: Ultimate Ninja Storm Generations,PLAYSTATION,2012,PS3,Fighting,Namco Bandai Games,0.73,74
Shaun Palmer's Pro Snowboarder,PLAYSTATION,2001,PS2,Sports,Codemasters,0.73,64
Ultimate Spider-Man,PLAYSTATION,2005,PS2,Action,Activision,0.72,74
NBA Live 08,PLAYSTATION,2007,PS2,Sports,Electronic Arts,0.72,68
Star Ocean: The Last Hope International,PLAYSTATION,2010,PS3,Role-Playing,Square Enix,0.72,74
Dead to Rights,XBOX,2002,XB,Shooter,Electronic Arts,0.72,73
Tiger Woods PGA Tour 07,PLAYSTATION,2006,PS2,Sports,Electronic Arts,0.72,79
Major League Baseball 2K7,XBOX,2007,X360,Sports,Spike,0.72,79
MLB 14: The Show,PLAYSTATION,2014,PS4,Sports,Sony Computer Entertainment America,0.72,83
X-Men: Mutant Academy 2,PLAYSTATION,2001,PS,Fighting,Activision,0.72,72
MLB 09: The Show,PLAYSTATION,2009,PS3,Sports,Sony Computer Entertainment,0.72,90
Borderlands: The Pre-Sequel,XBOX,2014,X360,Shooter,Take-Two Interactive,0.72,74
F1 2011,XBOX,2011,X360,Racing,Codemasters,0.72,84
Mobile Suit Gundam: Encounters in Space,PLAYSTATION,2003,PS2,Simulation,Namco Bandai Games,0.72,66
MLB 10: The Show,PLAYSTATION,2010,PS3,Sports,Sony Computer Entertainment,0.72,91
MX vs. ATV Reflex,XBOX,2009,X360,Racing,THQ,0.72,75
Blur,PLAYSTATION,2010,PS3,Racing,Activision,0.72,81
DiRT 3,XBOX,2011,X360,Racing,Codemasters,0.72,87
The Lord of the Rings: The Two Towers,XBOX,2002,XB,Action,Electronic Arts,0.71,79
Madden NFL 2003,XBOX,2002,XB,Sports,Electronic Arts,0.71,92
Skate,XBOX,2007,X360,Sports,Electronic Arts,0.71,86
Ben 10: Protector of Earth,PLAYSTATION,2007,PSP,Action,D3Publisher,0.71,60
Virtua Fighter 4: Evolution,PLAYSTATION,2003,PS2,Fighting,Sega,0.71,93
Resident Evil: Survivor,PLAYSTATION,2000,PS,Action,Eidos Interactive,0.71,39
Silent Hill 3,PLAYSTATION,2003,PS2,Action,Konami Digital Entertainment,0.71,85
Power Rangers: Dino Thunder,PLAYSTATION,2004,PS2,Action,THQ,0.71,49
Madden NFL 08,PLAYSTATION,2007,PSP,Sports,Electronic Arts,0.71,75
Madden NFL 09,PLAYSTATION,2008,PSP,Sports,Electronic Arts,0.71,68
NBA Live 09,XBOX,2008,X360,Sports,Electronic Arts,0.71,77
Dragon Ball: Xenoverse 2,PLAYSTATION,2016,PS4,Action,Namco Bandai Games,0.71,73
Dynasty Warriors 6,PLAYSTATION,2007,PS3,Action,Tecmo Koei,0.71,59
NCAA Football 09,XBOX,2008,X360,Sports,Electronic Arts,0.71,83
Doom 3: Resurrection of Evil,XBOX,2005,XB,Shooter,Activision,0.71,77
SSX,XBOX,2012,X360,Sports,Electronic Arts,0.7,82
Two Worlds,XBOX,2007,X360,Role-Playing,SouthPeak Games,0.7,50
Spider-Man 2,PLAYSTATION,2005,PSP,Action,Activision,0.7,67
NCAA Football 08,XBOX,2007,X360,Sports,Electronic Arts,0.7,81
Star Wars: Obi-Wan,XBOX,2001,XB,Action,Activision,0.7,58
Kill.Switch,PLAYSTATION,2003,PS2,Shooter,Sony Computer Entertainment,0.7,73
Catherine,PLAYSTATION,2011,PS3,Adventure,Deep Silver,0.7,79
SplashDown,PLAYSTATION,2001,PS2,Racing,Atari,0.7,84
Jade Empire,XBOX,2005,XB,Role-Playing,Microsoft Game Studios,0.7,89
Infinite Undiscovery,XBOX,2008,X360,Role-Playing,Square Enix,0.7,68
Lego Star Wars: The Force Awakens,PLAYSTATION,2016,PS4,Action,Warner Bros. Interactive Entertainment,0.7,78
NHL 12,XBOX,2011,X360,Sports,Electronic Arts,0.7,86
NASCAR 2001,PLAYSTATION,2000,PS2,Racing,Electronic Arts,0.7,66
Mafia,PLAYSTATION,2004,PS2,Action,Illusion Softworks,0.7,65
Ape Escape: On the Loose,PLAYSTATION,2005,PSP,Platform,Sony Computer Entertainment,0.7,66
Mobile Suit Gundam: Journey to Jaburo,PLAYSTATION,2000,PS2,Simulation,Namco Bandai Games,0.7,58
MLB 08: The Show,PLAYSTATION,2008,PS3,Sports,Sony Computer Entertainment,0.7,85
TimeSplitters 2,PLAYSTATION,2002,PS2,Shooter,Eidos Interactive,0.7,90
Omerta: City of Gangsters,XBOX,2011,X360,Simulation,Konami Digital Entertainment,0.7,43
Driver: San Francisco,XBOX,2011,X360,Racing,Ubisoft,0.7,80
James Bond 007: Blood Stone,PLAYSTATION,2010,PS3,Shooter,Activision,0.7,65
Metal Gear Solid: Portable Ops Plus,PLAYSTATION,2007,PSP,Action,Konami Digital Entertainment,0.69,65
Halo 2 Multiplayer Map Pack,XBOX,2005,XB,Shooter,Microsoft Game Studios,0.69,89
Mortal Kombat: Shaolin Monks,PLAYSTATION,2005,PS2,Action,Midway Games,0.69,77
MotionSports,XBOX,2010,X360,Sports,Ubisoft,0.69,40
MX vs. ATV Unleashed: On the Edge,PLAYSTATION,2006,PSP,Racing,THQ,0.69,68
Plants vs. Zombies: Garden Warfare,XBOX,2014,XOne,Shooter,Electronic Arts,0.69,76
Need for Speed Rivals,XBOX,2013,XOne,Racing,Electronic Arts,0.69,75
Prince of Persia: The Forgotten Sands,PLAYSTATION,2010,PS3,Action,Ubisoft,0.69,75
Top Spin 4,PLAYSTATION,2011,PS3,Sports,Take-Two Interactive,0.69,82
Baldur's Gate: Dark Alliance II,PLAYSTATION,2004,PS2,Role-Playing,Interplay,0.68,78
IL-2 Sturmovik: Birds of Prey,PLAYSTATION,2009,PS3,Simulation,505 Games,0.68,81
NBA Street Vol. 2,XBOX,2003,XB,Sports,Electronic Arts,0.68,89
MX vs. ATV Untamed,XBOX,2007,X360,Racing,THQ,0.68,70
The Last Remnant,XBOX,2008,X360,Role-Playing,Square Enix,0.68,66
NCAA Football 2005,XBOX,2004,XB,Sports,Electronic Arts,0.68,89
The Sly Collection,PLAYSTATION,2010,PS3,Platform,Sony Computer Entertainment,0.68,85
Sniper Elite 3,PLAYSTATION,2014,PS4,Shooter,505 Games,0.68,67
Prince of Persia: The Two Thrones,PLAYSTATION,2005,PS2,Action,Ubisoft,0.68,85
Hot Shots Golf: Open Tee 2,PLAYSTATION,2007,PSP,Sports,Sony Computer Entertainment,0.68,82
Suikoden II,PLAYSTATION,1998,PS,Role-Playing,Konami Digital Entertainment,0.68,82
Iron Man,PLAYSTATION,2008,PS3,Action,Sega,0.68,42
FIFA Soccer 06,XBOX,2005,XB,Sports,Electronic Arts,0.68,80
Fight Night 2004,XBOX,2004,XB,Fighting,Electronic Arts,0.68,85
.hack//Mutation Part 2,PLAYSTATION,2002,PS2,Role-Playing,Atari,0.68,76
Wolfenstein: The New Order,XBOX,2014,XOne,Shooter,Bethesda Softworks,0.68,79
Return to Castle Wolfenstein: Tides of War,XBOX,2003,XB,Shooter,Activision,0.67,84
Spider-Man 3,PLAYSTATION,2007,PS3,Platform,Activision,0.67,60
The Evil Within,XBOX,2014,XOne,Action,Bethesda Softworks,0.67,79
Armored Core 3,PLAYSTATION,2002,PS2,Simulation,Metro 3D,0.67,74
Star Wars: Republic Commando,XBOX,2005,XB,Shooter,Activision,0.67,78
The LEGO Movie Videogame,PLAYSTATION,2014,PS4,Action,Warner Bros. Interactive Entertainment,0.67,71
Turok,PLAYSTATION,2008,PS3,Action,Touchstone,0.67,67
Terraria,XBOX,2013,X360,Action,505 Games,0.67,81
Unreal Tournament III,PLAYSTATION,2007,PS3,Shooter,Midway Games,0.67,86
NFL Street,XBOX,2004,XB,Sports,Electronic Arts,0.66,81
Blazing Angels: Squadrons of WWII,PLAYSTATION,2006,PS3,Simulation,Ubisoft,0.66,67
WWE SmackDown vs. RAW 2007,PLAYSTATION,2006,PSP,Fighting,THQ,0.66,78
F1 2015,PLAYSTATION,2015,PS4,Racing,Codemasters,0.66,65
Tony Hawk's Proving Ground,PLAYSTATION,2007,PS2,Sports,Activision,0.66,65
The Darkness,PLAYSTATION,2007,PS3,Shooter,Take-Two Interactive,0.66,80
MLB 2004,PLAYSTATION,2003,PS2,Sports,Sony Computer Entertainment,0.66,61
Darkstone,PLAYSTATION,2001,PS,Role-Playing,Electronic Arts,0.66,58
NCAA March Madness 2003,PLAYSTATION,2002,PS2,Sports,Electronic Arts,0.66,74
Thrillville,PLAYSTATION,2006,PS2,Strategy,Atari,0.66,69
Castlevania: Lords of Shadow,XBOX,2010,X360,Action,Konami Digital Entertainment,0.66,83
NHL 10,XBOX,2009,X360,Sports,Electronic Arts,0.66,88
Street Fighter Anniversary Collection,PLAYSTATION,2004,PS2,Fighting,Capcom,0.66,78
NHL 13,XBOX,2012,X360,Sports,Electronic Arts,0.66,83
Ratatouille,PLAYSTATION,2007,PSP,Action,THQ,0.66,64
Lollipop Chainsaw,PLAYSTATION,2012,PS3,Action,Warner Bros. Interactive Entertainment,0.66,67
Tom Clancy's EndWar,PLAYSTATION,2008,PS3,Strategy,Ubisoft,0.66,76
Suikoden IV,PLAYSTATION,2004,PS2,Role-Playing,Konami Digital Entertainment,0.66,63
Gods Eater Burst,PLAYSTATION,2010,PSP,Action,Namco Bandai Games,0.66,71
Fist of the North Star: Ken's Rage,PLAYSTATION,2010,PS3,Action,Ubisoft Annecy,0.66,60
One Piece: Pirate Warriors 2,PLAYSTATION,2013,PS3,Action,Namco Bandai Games,0.66,71
Brothers In Arms: Road to Hill 30,XBOX,2005,XB,Shooter,Ubisoft,0.66,88
LEGO Jurassic World,XBOX,2015,XOne,Action,Warner Bros. Interactive Entertainment,0.65,70
Kung Fu Panda,PLAYSTATION,2008,PS2,Action,Activision,0.65,73
Shaun White Snowboarding,PLAYSTATION,2008,PS3,Sports,Ubisoft,0.65,63
Radiata Stories,PLAYSTATION,2005,PS2,Role-Playing,Square Enix,0.65,74
Disney's Chicken Little,PLAYSTATION,2005,PS2,Platform,Disney Interactive Studios,0.65,60
Scene It? Box Office Smash,XBOX,2008,X360,Misc,Microsoft Game Studios,0.65,76
Monster Jam: Maximum Destruction,PLAYSTATION,2002,PS2,Racing,Ubisoft,0.65,47
Tiger Woods PGA Tour 09,PLAYSTATION,2008,PS3,Sports,Electronic Arts,0.65,82
Tiger Woods PGA Tour 09,XBOX,2008,X360,Sports,Electronic Arts,0.65,84
Drakengard,PLAYSTATION,2003,PS2,Role-Playing,Square Enix,0.65,63
Champions: Return to Arms,PLAYSTATION,2005,PS2,Role-Playing,Sony Online Entertainment,0.65,77
Harry Potter and the Goblet of Fire,PLAYSTATION,2005,PS2,Action,Electronic Arts,0.65,68
Tiger Woods PGA Tour 10,XBOX,2009,X360,Sports,Electronic Arts,0.65,80
Spyro: A Hero's Tail,PLAYSTATION,2004,PS2,Platform,Vivendi Games,0.64,60
Crash: Twinsanity,PLAYSTATION,2004,PS2,Platform,Vivendi Games,0.64,64
Max Payne 2: The Fall of Max Payne,XBOX,2003,XB,Shooter,Take-Two Interactive,0.64,84
GoldenEye: Rogue Agent,PLAYSTATION,2004,PS2,Shooter,Electronic Arts,0.64,60
WWE 2K15,XBOX,2014,X360,Sports,Take-Two Interactive,0.64,50
Star Ocean: First Departure,PLAYSTATION,2007,PSP,Role-Playing,Square Enix,0.64,74
James Bond 007: Everything or Nothing,XBOX,2004,XB,Shooter,Electronic Arts,0.64,83
X2: Wolverine's Revenge,PLAYSTATION,2003,PS2,Platform,Activision,0.64,58
NBA Live 06,XBOX,2005,XB,Sports,Electronic Arts,0.64,79
TimeSplitters 2,XBOX,2002,XB,Shooter,Eidos Interactive,0.64,88
Onimusha: Dawn of Dreams,PLAYSTATION,2006,PS2,Action,Capcom,0.64,81
Sengoku Basara: Samurai Heroes,PLAYSTATION,2010,PS3,Action,Capcom,0.64,61
Stuntman: Ignition,XBOX,2007,X360,Racing,THQ,0.64,75
Dishonored 2,PLAYSTATION,2016,PS4,Action,Bethesda Softworks,0.64,88
The Crew,XBOX,2014,XOne,Racing,Ubisoft,0.64,64
Dragon Ball: Raging Blast 2,XBOX,2010,X360,Fighting,Namco Bandai Games,0.64,57
NHL 13,PLAYSTATION,2012,PS3,Sports,Electronic Arts,0.64,84
Dead or Alive 5,PLAYSTATION,2012,PS3,Fighting,Tecmo Koei,0.64,74
Evolve,XBOX,2015,XOne,Shooter,Take-Two Interactive,0.64,74
