System,Publisher,Sale,Rating,User
PLAYSTATION,Play It,3.42,58.44444444444444,73.66666666666667
PLAYSTATION,Playlogic Game Factory,0.38,52.666666666666664,74.33333333333333
PLAYSTATION,PM Studios,0.11,77,65
PLAYSTATION,PopCap Games,0.2,85,79
PLAYSTATION,PQube,1.99,77,78.41666666666667
PLAYSTATION,Psygnosis,0.99,88.66666666666667,84.33333333333333
PLAYSTATION,Rage Software,0.86,74,84
PLAYSTATION,Rebellion Developments,0.04,66,70
PLAYSTATION,RedOctane,8.68,81,81.25
PLAYSTATION,Revolution Software,0.07,72,72
PLAYSTATION,Rising Star Games,1.68,65,72.1
PLAYSTATION,Sammy Corporation,0.54,72,81.33333333333333
PLAYSTATION,SCi,0.91,58,75.25
PLAYSTATION,Sega,57.99,69.08823529411765,74.09803921568627
PLAYSTATION,Slightly Mad Studios,1.09,83,66
PLAYSTATION,SNK,0.07,73,88
PLAYSTATION,Sold Out,0.03,78,76
PLAYSTATION,Sony Computer Entertainment,379.61,75.0813559322034,76.5728813559322
PLAYSTATION,Sony Computer Entertainment America,1.15,82,72.5
PLAYSTATION,Sony Computer Entertainment Europe,15.15,81,84.5
PLAYSTATION,Sony Online Entertainment,3.22,76.16666666666667,81.83333333333333
PLAYSTATION,SouthPeak Games,2.5999999999999996,60.333333333333336,70.66666666666667
PLAYSTATION,Spike,1.17,61.4,50.8
PLAYSTATION,Square,0.52,89,91
PLAYSTATION,Square EA,0.8,80,81
PLAYSTATION,Square Enix,62.2,74.59649122807018,75.49122807017544
PLAYSTATION,SquareSoft,22.75,85.75,85.75
PLAYSTATION,Stainless Games,0.01,51,55
PLAYSTATION,Sting,0.21000000000000002,67,72
PLAYSTATION,Success,0.03,62,73
PLAYSTATION,Swing! Entertainment,0.15000000000000002,55.5,66.5
PLAYSTATION,System 3,0.16,38,29
PLAYSTATION,System 3 Arcade Software,0.04,71,62
PLAYSTATION,Taito,0.07,74,75
PLAYSTATION,Takara Tomy,0.14,77,70
PLAYSTATION,Take-Two Interactive,210.91,75.26126126126127,71.76576576576576
PLAYSTATION,TalonSoft,0.87,48,66
PLAYSTATION,TDK Mediactive,2.55,56.166666666666664,61.333333333333336
PLAYSTATION,Tecmo Koei,25.58,66.77272727272727,77.18181818181819
PLAYSTATION,Telltale Games,0.35,64,71.5
PLAYSTATION,THQ,76.46,69.2803738317757,73.02803738317758
PLAYSTATION,Titus,1.05,64,63
PLAYSTATION,Touchstone,0.67,67,60
PLAYSTATION,Trion Worlds,0.35,59,69
PLAYSTATION,Tripwire Interactive,0.05,76,80
PLAYSTATION,Tru Blu Entertainment,0.13,74.5,71.5
PLAYSTATION,Ubisoft,132.08,69.55414012738854,72.28662420382166
PLAYSTATION,Ubisoft Annecy,3.16,62.125,71.375
PLAYSTATION,Universal Interactive,9.6,59.833333333333336,70.33333333333333
PLAYSTATION,Unknown,2.2,61.666666666666664,57.44444444444444
PLAYSTATION,Valcon Games,0.11,73,63
PLAYSTATION,Valve,1.7,95,84
PLAYSTATION,Virgin Interactive,18.95,80.07142857142857,84.14285714285714
PLAYSTATION,Vivendi Games,15.790000000000001,63.542857142857144,71.22857142857143
PLAYSTATION,Wanadoo,0.6000000000000001,78.5,86.5
PLAYSTATION,Warner Bros. Interactive Entertainment,44.6,72.42105263157895,72.8157894736842
PLAYSTATION,Xplosiv,0.2,51,21
PLAYSTATION,Xseed Games,0.06,64,79
PLAYSTATION,Yacht Club Games,0.08,90,76
PLAYSTATION,Zoo Digital Publishing,2.55,62.42857142857143,80.42857142857143
XBOX,3DO,0.08,83,84
XBOX,505 Games,7.71,60.416666666666664,60.416666666666664
XBOX,Acclaim Entertainment,2.49,71.125,74.125
XBOX,Activision,187.22,70.32167832167832,67.64335664335664
XBOX,Activision Value,0.52,50.25,59.25
XBOX,Atari,11.52,66.52631578947368,72.42105263157895
XBOX,Atlus,0.23,76.66666666666667,79.33333333333333
XBOX,Avalon Interactive,0.09,60.5,67.5
XBOX,BAM! Entertainment,0.12,60,74
XBOX,Banpresto,0.3,69,70
XBOX,Bethesda Softworks,30.79,74.1875,69.0625
XBOX,Bigben Interactive,0.09,20,31
XBOX,Black Bean Games,0.53,64.33333333333333,80.33333333333333
XBOX,Brash Entertainment,0.11,57,53
XBOX,Capcom,21.01,70.94285714285714,65.51428571428572
XBOX,City Interactive,1.3599999999999999,48.5,57.5
XBOX,Cloud Imperium Games Corporation,0.04,37,63
XBOX,Codemasters,10.97,72.63888888888889,69.11111111111111
XBOX,Compile Heart,0.2,71,70
XBOX,Conspiracy Entertainment,0.05,48,48
XBOX,Crave Entertainment,0.16999999999999998,71.5,55
XBOX,D3Publisher,1.55,60.125,73.125
XBOX,Deep Silver,7.88,59.69230769230769,58.38461538461539
XBOX,Disney Interactive Studios,9.01,64.52941176470588,63
XBOX,DreamCatcher Interactive,0.06,64,77
XBOX,DTP Entertainment,0.7,49.75,63
XBOX,Eidos Interactive,10.370000000000001,69.0625,73.46875
XBOX,Electronic Arts,240.58,76.6914498141264,71.38289962825279
XBOX,Empire Interactive,0.8200000000000001,59.5,69.25
XBOX,Encore,0.01,45,73
XBOX,Evolved Games,0.17,51.333333333333336,63.666666666666664
XBOX,Focus Home Interactive,1.1300000000000001,58.857142857142854,65.85714285714286
XBOX,From Software,0.11,48,75
XBOX,Gamebridge,0.21,55,68
XBOX,Gamecock,0.06,52,61
XBOX,Gathering of Developers,0.39,54.333333333333336,66.66666666666667
XBOX,Genki,0.06,32,25
XBOX,Global Star,1.71,56.5,59.25
XBOX,Groove Games,0.06,32,58
XBOX,Harmonix Music Systems,0.47,79,64
XBOX,Hip Interactive,0.13,65,69.5
XBOX,Home Entertainment Suppliers,0.31,73,60
XBOX,Hudson Soft,0.37,43.5,61.5
XBOX,Idea Factory,0.09,59,75
XBOX,Ignition Entertainment,0.37,71.33333333333333,54.333333333333336
XBOX,Infogrames,0.5700000000000001,52,66.33333333333333
XBOX,Insomniac Games,0.06,66,69
XBOX,Interplay,0.55,75.5,87.5
XBOX,Jaleco,0.07,35,49
XBOX,JoWood Productions,0.09,64,52
XBOX,Kalypso Media,0.5800000000000001,65.25,68.25
XBOX,Kemco,0.13,29,32
XBOX,Koch Media,0.01,53,63
XBOX,Konami Digital Entertainment,14.14,68.32075471698113,68.56603773584905
XBOX,Kool Kizz,0.04,74,88
XBOX,Little Orbit,0.06,58,75
XBOX,LucasArts,10.81,71.6923076923077,70.07692307692308
XBOX,Mad Catz,0.07,49,55
XBOX,Majesco Entertainment,0.51,54,54.4
XBOX,Mastiff,0.02,74,75
XBOX,MC2 Entertainment,0.04,66,84
XBOX,Metro 3D,0.02,26,37
XBOX,Microids,0.19,65,65.66666666666667
XBOX,Microsoft Game Studios,214.4,76.13559322033899,73.78813559322033
XBOX,Midway Games,10.16,70.45161290322581,72.70967741935483
XBOX,Milestone S.r.l,0.01,63,82
XBOX,Milestone S.r.l.,0.1,54,53
XBOX,Mindscape,0.05,71,82
XBOX,Moss,0.12,63,78
